smiles,IC50(uM),leaked
C#CCN1CC(C(N)=O)Oc2ccccc21,60.0,False
C#CCOc1cccc(Cc2cnc(NC(=O)CSc3nc(C)cc(C)n3)s2)c1,100.0,False
C#Cc1ccc(C(=O)Nc2cccc(COc3cncc(C(N)=O)c3)c2)cc1,3.01,False
C=CCN1C(=O)/C(=C/c2ccc(-c3cccc(Cl)c3Cl)o2)C(=O)NC1=S,5.15,False
C=CCN1C(=O)/C(=C/c2ccc(OCc3ccccc3)cc2)C(=O)NC1=S,36.8,False
C=CCOc1ccc(-c2nn3c(-c4ccco4)nnc3s2)cc1,29.5,False
C=CCOc1cccc(-c2nn3c(-c4ccco4)nnc3s2)c1,18.8,False
C=CCn1c(=O)nc2oc3ccc4ccccc4c3cc-2c1=O,6.6,False
CC(=O)N1CC(C(N)=O)Oc2ccccc21,60.0,False
CC(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCCNC(C)=S)C(=O)N[C@@H](C)C(=O)O,0.37,False
CC(=O)N1CCc2c([nH]c3ccc(Cl)cc23)C1C(N)=O,79.9,False
CC(=O)NCC1CCN(c2ncnc3cc(C(N)=O)sc23)CC1,16.0,False
CC(=O)NCCC1CCN(c2ncnc3cc(C(N)=O)sc23)CC1,0.11,False
CC(=O)NCCCC[C@H](NC(=O)[C@H](C)NC(C)=O)C(=O)N[C@@H](C)C(=O)O,122.0,False
CC(=O)NCCCC[C@H](NC(=O)[C@H](CCCCCC(N)=O)NC(=O)[C@H](CCCCNC(C)=O)NC(C)=O)C(N)=O,290.0,False
CC(=O)NCCCC[C@H](NC(=O)[C@H](CCCCNC(=O)CCCCCCCSc1nc2c(N)ncnc2[nH]1)NC(=O)[C@H](CCCCNC(C)=O)NC(C)=O)C(N)=O,45.8,False
CC(=O)NCCCC[C@H](NC(=O)[C@H](CCCCNC(=O)CCCCCCCSc1nc2ccccc2s1)NC(=O)[C@H](CCCCNC(C)=O)NC(C)=O)C(N)=O,5.3,False
CC(=O)NCCCC[C@H](NC(=O)[C@H](CCCCNC(=O)CCCCCCSc1nc2ccccc2s1)NC(=O)[C@H](CCCCNC(C)=O)NC(C)=O)C(N)=O,30.0,False
CC(=O)NCCCC[C@H](NC(=O)[C@H](CCCCNC(=O)CCCCCSCc1ccccc1)NC(=O)[C@H](CCCCNC(C)=O)NC(C)=O)C(N)=O,57.7,False
CC(=O)NCCCC[C@H](NC(=O)[C@H](CCCCNC(=O)CCCCCSc1ccc2ccccc2c1)NC(=O)[C@H](CCCCNC(C)=O)NC(C)=O)C(N)=O,14.6,False
CC(=O)NCCCC[C@H](NC(=O)[C@H](CCCCNC(=O)CCCCCSc1cccc2ccccc12)NC(=O)[C@H](CCCCNC(C)=O)NC(C)=O)C(N)=O,14.6,False
CC(=O)NCCCC[C@H](NC(=O)[C@H](CCCCNC(=O)CCCCCSc1nc2c(N)ncnc2[nH]1)NC(=O)[C@H](CCCCNC(C)=O)NC(C)=O)C(N)=O,900.0,False
CC(=O)NCCCC[C@H](NC(=O)[C@H](CCCCNC(=O)CCCCCSc1nc2ccccc2[nH]1)NC(=O)[C@H](CCCCNC(C)=O)NC(C)=O)C(N)=O,187.3,False
CC(=O)NCCCC[C@H](NC(=O)[C@H](CCCCNC(=O)CCCCCSc1nc2ccccc2o1)NC(=O)[C@H](CCCCNC(C)=O)NC(C)=O)C(N)=O,133.1,False
CC(=O)NCCCC[C@H](NC(=O)[C@H](CCCCNC(=O)CCCCCSc1nc2ccccc2s1)NC(=O)[C@H](CCCCNC(C)=O)NC(C)=O)C(N)=O,12.4,False
CC(=O)NCCCC[C@H](NC(=O)[C@H](CCCCNC(=O)CCCCCSc1ncc(-c2ccccc2)s1)NC(=O)[C@H](CCCCNC(C)=O)NC(C)=O)C(N)=O,15.4,False
CC(=O)NCCCC[C@H](NC(=O)[C@H](CCCCNC(=O)CCCSc1nc2ccccc2s1)NC(=O)[C@H](CCCCNC(C)=O)NC(C)=O)C(N)=O,27.0,False
CC(=O)NCCCC[C@H](NC(=O)[C@H](CCCCNC(=O)CI)NC(=O)[C@H](CCCCNC(C)=O)NC(C)=O)C(N)=O,39.3,False
CC(=O)NCCCC[C@H](NC(=O)[C@H](CCCCNC(=O)CNC(=O)CI)NC(=O)[C@H](CCCCNC(C)=O)NC(C)=O)C(N)=O,200.0,False
CC(=O)NCCCC[C@H](NC(=O)[C@H](CCCCNC(=O)CNC(=O)CNC(=O)CSc1nc2ccccc2s1)NC(=O)[C@H](CCCCNC(C)=O)NC(C)=O)C(N)=O,116.0,False
CC(=O)NCCCC[C@H](NC(=O)[C@H](CCCCNC(=O)CSCc1ccccc1)NC(=O)[C@H](CCCCNC(C)=O)NC(C)=O)C(N)=O,171.0,False
CC(=O)NCCCC[C@H](NC(=O)[C@H](CCCCNC(=O)CSc1nc2ccccc2s1)NC(=O)[C@H](CCCCNC(C)=O)NC(C)=O)C(N)=O,77.5,False
CC(=O)NCCCC[C@H](NC(=O)[C@H](CCCCNC(=O)CSc1ncc(-c2ccccc2)s1)NC(=O)[C@H](CCCCNC(C)=O)NC(C)=O)C(N)=O,18.0,False
CC(=O)NCCCC[C@H](NC(=O)[C@H](CCCCNC(=O)CSc1nnc(/C=C/c2ccccc2)[nH]1)NC(=O)[C@H](CCCCNC(C)=O)NC(C)=O)C(N)=O,149.5,False
CC(=O)NCCCC[C@H](NC(=O)[C@H](CCCCNC(=S)NC(C)C)NC(=O)[C@H](CCCCNC(C)=O)NC(C)=O)C(N)=O,117.9,False
CC(=O)NCCCC[C@H](NC(=O)[C@H](CCCCNC(=S)NCCC(=O)O)NC(=O)[C@H](CCCCNC(C)=O)NC(C)=O)C(N)=O,100.0,False
CC(=O)NCCCC[C@H](NC(=O)[C@H](CCCCNC(=S)Nc1ccccc1)NC(=O)[C@H](CCCCNC(C)=O)NC(C)=O)C(N)=O,62.9,False
CC(=O)NCCCC[C@H](NC(=O)[C@H](CCCCNC(C)=S)NC(=O)[C@H](CCCCNC(C)=O)NC(C)=O)C(N)=O,2.1,False
CC(=O)NCCCC[C@H](NC(=O)[C@H](CCCCNC(C)=S)NC(=O)[C@H](CCc1ccccc1)NC(C)=O)C(N)=O,3.65,False
CC(=O)NCCCC[C@H](NC(=O)[C@H](CCCCNC(C)=S)NC(=O)[C@H](CNC(C)=O)NC(C)=O)C(N)=O,6.86,False
CC(=O)NCCCC[C@H](NC(=O)[C@H](CCCCNC(C)=S)NC(=O)[C@H](Cc1ccc(-c2ccccc2)cc1)NC(C)=O)C(N)=O,3.03,False
CC(=O)NCCCC[C@H](NC(=O)[C@H](CCCCNC(C)=S)NC(=O)[C@H](Cc1ccc2ccccc2c1)NC(C)=O)C(N)=O,12.57,False
CC(=O)NCCCC[C@H](NC(=O)[C@H](CCCCNC(C)=S)NC(=O)[C@H](Cc1csc2ccccc12)NC(C)=O)C(N)=O,14.43,False
CC(=O)NCCCC[C@H](NC(=O)[C@H](CCCCNC(N)=S)NC(=O)[C@H](CCCCNC(C)=O)NC(C)=O)C(N)=O,49.9,False
CC(=O)NCCCC[C@H](NC(C)=O)C(=O)N[C@@H](CCCCNC(C)=S)C(=O)N[C@@H](CCc1ccccc1)C(N)=O,1.45,False
CC(=O)NCCCC[C@H](NC(C)=O)C(=O)N[C@@H](CCCCNC(C)=S)C(=O)N[C@@H](CNC(C)=O)C(N)=O,2.32,False
CC(=O)NCCCC[C@H](NC(C)=O)C(=O)N[C@@H](CCCCNC(C)=S)C(=O)N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(N)=O,2.4,False
CC(=O)NCCCC[C@H](NC(C)=O)C(=O)N[C@@H](CCCCNC(C)=S)C(=O)N[C@@H](Cc1ccc2ccccc2c1)C(N)=O,0.64,False
CC(=O)NCCCC[C@H](NC(C)=O)C(=O)N[C@@H](CCCCNC(C)=S)C(=O)N[C@@H](Cc1csc2ccccc12)C(N)=O,1.15,False
CC(=O)NCCC[C@H](NC(=O)[C@H](CCCCNC(C)=S)NC(=O)[C@H](CCCNC(C)=O)NC(C)=O)C(N)=O,5.9,False
CC(=O)NCCC[C@H](NC(=O)[C@H](CCCCNC(N)=S)NC(=O)[C@H](CCCNC(C)=O)NC(C)=O)C(N)=O,89.5,False
CC(=O)NCCN1CCN(c2ncnc3cc(C(N)=O)sc23)CC1,1.6,False
CC(=O)NC[C@H](NC(=O)[C@H](CCCCNC(C)=S)NC(=O)[C@H](CNC(C)=O)NC(C)=O)C(N)=O,6.6,False
CC(=O)NC[C@H](NC(=O)[C@H](CCCCNC(C)=S)NC(=O)[C@H](Cc1ccc(-c2ccccc2)cc1)NC(C)=O)C(N)=O,6.6,False
CC(=O)NC[C@H](NC(=O)[C@H](CCCCNC(C)=S)NC(=O)[C@H](Cc1ccc2ccccc2c1)NC(C)=O)C(N)=O,18.9,False
CC(=O)NC[C@H](NC(=O)[C@H](CCCCNC(C)=S)NC(=O)[C@H](Cc1csc2ccccc12)NC(C)=O)C(N)=O,9.6,False
CC(=O)N[C@@H](C)C(=O)N[C@@H](CCCCNC(=O)C=C(C)C)C(=O)N[C@@H](C)C(=O)O,11.0,False
CC(=O)N[C@@H](C)C(=O)N[C@@H](CCCCNC(=O)CC(C)C)C(=O)N[C@@H](C)C(=O)O,12.0,False
CC(=O)N[C@@H](C)C(=O)N[C@@H](CCCCNC(=S)CC(C)C)C(=O)N[C@@H](C)C(=O)O,0.7,False
CC(=O)N[C@@H](C)C(=O)N[C@@H](CCCCNC(C)=S)C(=O)N[C@@H](C)C(=O)O,0.24,False
CC(=O)N[C@@H](C)C(=O)N[C@@H](CCCCNC(C)=[Se])C(=O)N[C@@H](C)C(=O)O,0.37,False
CC(=O)N[C@H]1CCCCNC(=O)CCCCCC(=O)NCCCC[C@@H](C(=O)N[C@H](C(N)=O)[C@@H](C)O)NC(=O)[C@H](CCCCNC(=S)NCCC(=O)O)NC(=O)[C@H](CCCNC(=N)N)NC1=O,1000.0,False
CC(=O)Nc1ccc(C(=O)Nc2cccc(COc3cncc(C(N)=O)c3)c2)cc1,0.672,False
CC(=O)Nc1ccc(CN2CC(C(N)=O)Oc3ccccc32)cc1,10.4,False
CC(=O)Nc1ccc(Nc2ccccc2C(N)=O)cc1,100.0,False
CC(=O)Nc1cccc(CN2CC(C(N)=O)Oc3ccccc32)c1,2.4,False
CC(=O)Nc1cccc(COc2cncc(C(N)=O)c2)c1,200.0,False
CC(=O)Nc1ccccc1CN1CC(C(N)=O)Oc2ccccc21,31.6,False
CC(=O)Nc1nc(CN2CC(C(N)=O)Oc3ccccc32)cs1,0.62,False
CC(=O)Oc1ccc2occ(C(=O)c3ccccc3)c2c1,300.0,False
CC(=O)c1ccc(C(=O)Nc2cccc(COc3cncc(C(N)=O)c3)c2)cc1,24.1,False
CC(=S)NCCC1CCN(c2ncnc3cc(C(N)=O)sc23)CC1,0.056,False
CC(=S)NCCCCC(NC(=O)Oc1ccccc1)C(=O)Nc1ccccc1,30.0,False
CC(=S)NCCCC[C@@H]1NC(=O)CNC(=O)CCCCCCC(=O)NCCCC[C@@H](C(N)=O)NC1=O,3.84,False
CC(=S)NCCCC[C@@H]1NC(=O)CNCCC(=O)NCCCC[C@@H](C(N)=O)NC1=O,22.0,False
CC(=S)NCCCC[C@@H]1NC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)CCCCCCC(=O)NCCCC[C@@H](C(N)=O)NC1=O,0.57,False
CC(=S)NCCCC[C@@H]1NC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)CCCCCCC(=O)NCCC[C@@H](C(N)=O)NC1=O,0.18,False
CC(=S)NCCCC[C@@H]1NC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)CCCCCCC(=O)NCC[C@@H](C(N)=O)NC1=O,1.1,False
CC(=S)NCCCC[C@@H]1NC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)CCCCCCC(=O)NC[C@@H](C(N)=O)NC1=O,0.71,False
CC(=S)NCCCC[C@@H]1NC(=O)[C@H](Cc2csc3ccccc23)NC(=O)CCCCCCC(=O)NCCCC[C@@H](C(N)=O)NC1=O,0.5,False
CC(=S)NCCCC[C@@H]1NC(=O)[C@H](Cc2csc3ccccc23)NC(=O)CCCCCCC(=O)NCCC[C@@H](C(N)=O)NC1=O,0.68,False
CC(=S)NCCCC[C@@H]1NC(=O)[C@H](Cc2csc3ccccc23)NC(=O)CCCCCCC(=O)NCC[C@@H](C(N)=O)NC1=O,1.27,False
CC(=S)NCCCC[C@@H]1NC(=O)[C@H](Cc2csc3ccccc23)NC(=O)CCCCCCC(=O)NC[C@@H](C(N)=O)NC1=O,1.21,False
CC(=S)NCCCC[C@H](NC(=O)CCc1ccccc1)C(=O)N[C@@H](C)C(=O)O,0.99,False
CC(=S)NCCCC[C@H](NC(=O)CCc1ccccc1F)C(=O)N[C@@H](C)C(=O)O,1.3,False
CC(=S)NCCCC[C@H](NC(=O)CCc1ccccc1O)C(=O)N[C@@H](C)C(=O)O,1.0,False
CC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)NC1CCCCC1,23.0,False
CC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)NCC(=O)c1ccccc1,1.6,False
CC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](C)C(=O)O,1.3,False
CC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)Nc1ccccc1,6.5,False
CC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)Nc1ccccc1F,7.4,False
CC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)Nc1ccccc1O,5.1,False
CC(=S)NCCCC[C@H](NC(=O)[C@@H](N)CC(=O)O)C(=O)N[C@H](C(=O)O)[C@@H](C)O,12.0,False
CC(=S)NCCCC[C@H](NC(=O)[C@@H](N)CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)O,0.57,False
CC(=S)NCCCC[C@H](NC(=O)[C@@H]1CCCN(C(=O)OC(C)(C)C)C1)C(=O)N[C@@H](C)C(=O)O,0.97,False
CC(=S)NCCCC[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)OCc1ccccc1)C(=O)NCC(=O)c1ccccc1,0.24,False
CC(=S)NCCCC[C@H](NC(=O)[C@H](C)N)C(=O)N[C@@H](C)C(=O)O,0.66,False
CC(=S)NCCCC[C@H](NC(=O)[C@H](C)NC(=O)OC(C)(C)C)C(=O)N[C@@H](C)C(=O)O,0.77,False
CC(=S)NCCCC[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](N)CO)C(=O)N[C@H](C(=O)N[C@@H](C)C(=O)O)[C@@H](C)O,8.8,False
CC(=S)NCCCC[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](N)CO)C(=O)N[C@H](C(=O)O)[C@@H](C)O,11.1,False
CC(=S)NCCCC[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@@H](N)Cc1cnc[nH]1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)O,0.9,False
CC(=S)NCCCC[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@@H](N)Cc1cnc[nH]1)C(=O)N[C@@H](CC(C)C)C(=O)O,0.48,False
CC(=S)NCCCC[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](N)CCCCN)[C@@H](C)O)C(=O)N[C@@H](CO)C(=O)N[C@H](C(=O)NCC(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C)C(=O)O)[C@@H](C)O,2.0,False
CC(=S)NCCCC[C@H](NC(=O)[C@H](N)Cc1ccccc1)C(=O)N[C@@H](C)C(=O)O,18.0,False
CC(=S)NCCN1CCN(c2ncnc3cc(C(N)=O)sc23)CC1,0.49,False
CC(=[Se])NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)Nc1ccccc1,1.8,False
CC(C(=O)Nc1ccc(/N=C/c2c(O)ccc3ccccc23)cc1)c1ccccc1,40.9,False
CC(C(=O)Nc1cccc(/N=C/c2c(O)ccc3ccccc23)c1)c1ccccc1,43.0,False
CC(C(=O)Nc1ccccc1/N=C/c1c(O)ccc2ccccc12)c1ccccc1,40.3,False
CC(C)(C)C(=O)NCC1CCN(c2ncnc3cc(C(N)=O)sc23)CC1,4.3,False
CC(C)(C)C(=O)NCCC1CCN(c2ccnc3cc(C(N)=O)sc23)CC1,0.059,False
CC(C)(C)C(=O)NCCC1CCN(c2nccc3cc(C(N)=O)sc23)CC1,0.49,False
CC(C)(C)C(=O)NCCC1CCN(c2ncnc3cc(C(=O)O)sc23)CC1,50.0,False
CC(C)(C)C(=O)NCCC1CCN(c2ncnc3cc(C(N)=O)oc23)CC1,0.47,False
CC(C)(C)C(=O)NCCC1CCN(c2ncnc3cc(C(N)=O)sc23)CC1,0.015,True
CC(C)(C)C(=O)NCCC1CCN(c2ncnc3ccsc23)CC1,50.0,False
CC(C)(C)C(=O)NCCCC1CCN(c2ncnc3cc(C(N)=O)sc23)CC1,0.042,False
CC(C)(C)C(=O)NCCN1CCN(c2ncnc3cc(C(N)=O)sc23)CC1,0.12,False
CC(C)(C)OC(=O)CN1CC(C(N)=O)Oc2ccccc21,60.0,False
CC(C)(C)OC(=O)NCCC1CCN(c2ncnc3cc(C(N)=O)sc23)CC1,0.017,False
CC(C)(C)OC(=O)Nc1ccc2c(c1)C(NC(=O)Nc1ccc(C#N)cc1)CC(C)(C)O2,121.2,False
CC(C)(C)OC(=O)Nc1ccc2c(c1)C(NC(=O)Nc1cccc(C#N)c1)CC(C)(C)O2,6.2,False
CC(C)(C)OC(=O)Nc1ccc2c(c1)C(NC(=O)Nc1cccc(Cl)c1)CC(C)(C)O2,32.1,False
CC(C)(C)OC(=O)Nc1ccc2c(c1)C(NC(=O)Nc1cccc([N+](=O)[O-])c1)CC(C)(C)O2,200.0,False
CC(C)(C)OC(=O)Nc1cccc(-c2noc(C(=O)NNC(=S)Nc3ccc(C(F)(F)F)cc3)n2)c1,168.0,False
CC(C)(C)OC(=O)Nc1nc(CN2CC(C(N)=O)Oc3ccccc32)cs1,5.63,False
CC(C)(C)OC(=O)c1ccc(C(=O)NCCC2CCN(c3ncnc4cc(C(N)=O)sc34)CC2)s1,0.0067,False
CC(C)(C)OC(=O)c1ccc(CN2CC(C(N)=O)Oc3ccccc32)cc1,20.1,False
CC(C)(C)c1c(CC(N)=O)[nH]c2ccc(Cl)cc12,7.6,False
CC(C)(C)c1cc(C=C2C(=O)OC(c3ccccc3)OC2=O)cc(C(C)(C)C)c1O,18.96,False
CC(C)(C)c1ccc(-c2noc(C(=O)NNC(=S)Nc3ccc(C(F)(F)F)cc3)n2)cc1,325.0,False
CC(C)(C)c1ccc(-c2noc(C(=O)NNC(=S)Nc3cccc(C(F)(F)F)c3)n2)cc1,192.0,False
CC(C)(C)c1ccc(C(=O)Nc2cccc(COc3cncc(C(N)=O)c3)c2)cc1,15.3,False
CC(C)(C)c1ccc(C(=O)O)cc1,1000.0,True
CC(C)=CCC/C(C)=C/C[C@@H]1C[C@@]2(CC=C(C)C)C(=O)[C@](CC=C(C)C)(C(=O)C(C(=O)c3ccc(O)c(O)c3)=C2O)[C@@]1(C)CCC=C(C)C,9.0,False
CC(C)=CCC/C(C)=C/C[C@@H]1C[C@]2(CC=C(C)C)C(=O)[C@@](CC=C(C)C)(C(=O)C(C(=O)c3ccc(O)c(O)c3)=C2O)[C@@]1(C)CCC=C(C)C,9.0,False
CC(C)=CCC/C(C)=C/C[C@@H]1C[C@]2(CC=C(C)C)C(=O)[C@@](CC=C(C)C)(C(=O)C(Cc3ccc(O)c(O)c3)=C2O)[C@@]1(C)CCC=C(C)C,9.0,False
CC(C)=CCC[C@]1(C)[C@@H](CC=C(C)C)C[C@@]2(CC=C(C)C)C(=O)[C@]1(C(=O)C(C)C)C(=O)C(CC=C(C)C)=C2OCC(=O)O,7.0,False
CC(C)=CCC[C@]1(C)[C@@H](CC=C(C)C)C[C@]2(CC=C(C)C)C(=O)C(CC=C(C)C)=C(O)[C@@]1(C(=O)C(C)C)C2=O,15.0,False
CC(C)C(=O)Nc1ccc(Nc2ccccc2C(N)=O)cc1,100.0,False
CC(C)CC(=O)N1CC(C(N)=O)Oc2ccccc21,60.0,False
CC(C)CCCCCCCCC[C@@H]1CC(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)O1,600.0,False
CC(C)COc1cccc(Nc2ccccc2C(N)=O)c1,300.0,False
CC(C)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CCCCNC(N)=S)NC(=O)OCc1ccccc1,0.98,False
CC(C)OC(=O)Nc1ccc2c(c1)C(NC(=O)Nc1cccc(C#N)c1)CC(C)(C)O2,54.8,False
CC(C)Oc1cccc(C=C2C(=O)OC(c3ccccc3)OC2=O)c1,14.01,False
CC(C)c1c(CC(N)=O)[nH]c2ccc(Br)cc12,4.2,False
CC(C)c1c(CC(N)=O)[nH]c2ccc(Cl)cc12,1.6,False
CC(C)c1cc(C(=O)N(C)c2ccc(NC(=O)CCCCCCC(=O)NO)cc2)c(O)cc1O,10.0,False
CC(C)c1cc(C(=O)N(C)c2ccc(NC(=O)CCCCCCCC(=O)NO)cc2)c(O)cc1O,10.0,False
CC(C)c1ccc(-c2[nH][nH]c(=O)c2Cc2c(O)ccc3nc(Cl)ccc23)cc1,21.0,False
CC(C)c1ccc(C(=O)NC(=S)Nc2ccc(NC(=O)CCCCN(C)C)cc2)cc1,53.75,False
CC(C)c1ccc(C(=O)Nc2cccc(COc3cncc(C(N)=O)c3)c2)cc1,13.5,False
CC(C)c1ccc(C=C2C(=O)NC(=S)NC2=O)cc1,12.4,False
CC(CS(=O)(=O)c1cccc(/N=C/c2c(O)ccc3ccccc23)c1)c1ccccc1,40.3,False
