smiles,percent_inhibition,leaked
C#CCNC(=O)c1ccccc1Nc1cccc(OCCc2ccccc2)c1,12.0,False
C/C=C(\C)C(=O)NCCCC[C@H](NC(=O)[C@H](C)NC(C)=O)C(=O)N[C@@H](C)C(=O)OC,39.0,False
C/C=C/C(=O)NCCCC[C@H](NC(=O)[C@H](C)NC(C)=O)C(=O)N[C@@H](C)C(=O)OC,20.0,False
C=CCOc1ccccc1/C=C1\Oc2c(OC)cccc2C1=O,47.8,False
C=CCn1c(-c2ccccc2)c(Cc2c(O)ccc3ccccc23)c(=O)[nH]c1=S,37.5,False
CC(=O)NCCCC[C@H](NC(=O)[C@H](C)NC(C)=O)C(=O)N[C@@H](C)C(=O)O,62.0,False
CC(=O)N[C@@H](C)C(=O)N[C@@H](CCCCNC(=O)/C=C(/C)C(F)(F)F)C(=O)N[C@@H](C)C(=O)O,33.0,False
CC(=O)N[C@@H](C)C(=O)N[C@@H](CCCCNC(=O)C=C(C)C)C(=O)N[C@@H](C)C(=O)O,95.0,False
CC(=O)N[C@@H](C)C(=O)N[C@@H](CCCCNC(=O)CC(C)C)C(=O)N[C@@H](C)C(=O)O,94.0,False
CC(=O)N[C@@H](C)C(=O)N[C@@H](CCCCNC(=S)CC(C)C)C(=O)N[C@@H](C)C(=O)O,100.0,False
CC(=O)N[C@@H](C)C(=O)N[C@@H](CCCCNC(C)=S)C(=O)N[C@@H](C)C(=O)O,100.0,False
CC(=O)N[C@@H](C)C(=O)N[C@@H](CCCCNC(C)=[Se])C(=O)N[C@@H](C)C(=O)O,100.0,False
CC(=O)Nc1ncc(C)s1,10.0,False
CC(=O)Nc1ncc(Cc2cccc3ccccc23)s1,10.0,False
CC(=O)Oc1ccc2occ(C(=O)c3ccccc3)c2c1,0.17,False
CC(=O)c1ccc(N(C)S(=O)(=O)c2cccc(C(=O)Nc3ccc(C#N)cc3)c2)cc1,15.0,False
CC(=O)c1ccc(N(C)S(=O)(=O)c2cccc(C(=O)Nc3ccc(Cl)cc3)c2)cc1,2.5,False
CC(=O)c1ccc(N(C)S(=O)(=O)c2cccc(C(=O)Nc3ccc(Cl)cn3)c2)cc1,11.0,False
CC(=O)c1ccc(NC(=O)c2ccc(Oc3ccccc3)cc2)cc1,36.12,False
CC(=O)c1ccc(NC(=O)c2cccc(S(=O)(=O)N(C)c3ccc(C(C)=O)cc3)c2)cc1,5.0,False
CC(=S)NCCCC[C@H](N)C(=O)N[C@@H](C)C(=O)O,46.9,False
CC(=S)NCCCC[C@H](NC(=O)CCCCCCc1ccccc1)C(=O)NCc1ccccc1,99.0,False
CC(=S)NCCCC[C@H](NC(=O)CCCCCc1ccccc1)C(=O)NCC(=O)c1ccccc1,98.0,False
CC(=S)NCCCC[C@H](NC(=O)CCCCCc1ccccc1)C(=O)NCc1ccccc1,100.0,False
CC(=S)NCCCC[C@H](NC(=O)CCCc1ccccc1)C(=O)NCC(=O)c1ccccc1,98.0,False
CC(=S)NCCCC[C@H](NC(=O)CCc1ccccc1)C(=O)NCC(=O)c1ccccc1,96.0,False
CC(=S)NCCCC[C@H](NC(=O)CCc1ccccc1)C(=O)Nc1cccnc1,83.0,False
CC(=S)NCCCC[C@H](NC(=O)CCc1ccccc1F)C(=O)Nc1cccnc1,94.0,False
CC(=S)NCCCC[C@H](NC(=O)CCc1cccnc1)C(=O)NCC(=O)c1ccccc1,95.0,False
CC(=S)NCCCC[C@H](NC(=O)CCc1cccnc1)C(=O)Nc1ccccc1,82.0,False
CC(=S)NCCCC[C@H](NC(=O)CN(C)C)C(=O)Nc1ccccc1,62.0,False
CC(=S)NCCCC[C@H](NC(=O)C[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC1=O)C(=O)NCC(=O)c1ccccc1,96.0,False
CC(=S)NCCCC[C@H](NC(=O)OC(C)(C)C)C(=O)NCC(=O)c1ccccc1,91.0,False
CC(=S)NCCCC[C@H](NC(=O)OC(C)(C)C)C(=O)NCCc1cccnc1,41.0,False
CC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)NCC(=O)c1ccccc1,97.0,False
CC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)NCC(N)=O,91.0,False
CC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)NCC(O)c1ccccc1,77.0,False
CC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)NCCc1c[nH]c2ccc(OCc3ccccc3)cc12,87.0,False
CC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)NCCc1c[nH]c2ccccc12,85.0,False
CC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)NCCc1ccccc1,72.0,False
CC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)NCc1ccccc1,91.0,False
CC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](C)C(N)=O,96.0,False
CC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NC(C)C,5.0,False
CC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)Nc1ccccc1,83.0,False
CC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)Nc1cccnc1,84.0,False
CC(=S)NCCCC[C@H](NC(=O)[C@@H]1CCCN1)C(=O)Nc1ccccc1,86.0,False
CC(=S)NCCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)OC(C)(C)C)C(=O)NCC(=O)c1ccccc1,97.0,False
CC(=S)NCCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)OC(C)(C)C)C(=O)NCCc1cccnc1,66.0,False
CC(=S)NCCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)OC(C)(C)C)C(=O)Nc1ccccc1,80.0,False
CC(=S)NCCCC[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)OCc1ccccc1)C(=O)NCC(=O)c1ccccc1,99.0,False
CC(=S)NCCCC[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)OCc1ccccc1)C(=O)NCc1ccccc1,97.0,False
CC(=S)NCCCC[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)OCc1ccccc1)C(=O)Nc1ccccc1,90.0,False
CC(=S)NCCCC[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](N)CO)C(=O)O,11.8,False
CC(=[Se])NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)Nc1ccccc1,98.0,False
CC(C)(C(=O)NC(Cc1ccccc1)C(=O)N1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1)c1ccc(C(=O)C2CC2)cc1,44.0,False
CC(C)(C)NC(=O)c1ccc2c(c1)CCc1ccccc1N2,25.0,False
CC(C)(C)NS(=O)(=O)c1ccc2c(c1)Nc1ccccc1CC2,12.0,False
CC(C)(C)OC(=O)NCCCCCNC(=O)CNC(=O)c1ccccc1Nc1cccc(OCCc2ccccc2)c1,14.0,False
CC(C)(C)OC(=O)NCCCCNC(=O)CNC(=O)c1ccccc1Nc1cccc(OCCc2ccccc2)c1,23.0,False
CC(C)(C)OC(=O)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)Nc1ccccc1,6.0,False
CC(C)(C)OC(=O)NCCCNC(=O)c1ccccc1Nc1cccc(OCCc2ccccc2)c1,4.0,False
CC(C)(C)OC(=O)NCCCn1c(=S)[nH]c2cc([N+](=O)[O-])ccc21,10.0,False
CC(C)(C)OC(=O)NCCNC(=O)c1ccccc1Nc1cccc(OCCc2ccccc2)c1,11.0,False
CC(C)(C)OC(=O)Nc1cccc(-c2noc(C(=O)NNC(=S)Nc3ccc(C(F)(F)F)cc3)n2)c1,69.0,False
CC(C)(C)c1ccc(-c2noc(C(=O)NCC(=O)Nc3cccc(C(F)(F)F)c3)n2)cc1,20.0,False
CC(C)(C)c1ccc(-c2noc(C(=O)NNC(=O)Nc3cccc([N+](=O)[O-])c3)n2)cc1,18.0,False
CC(C)(C)c1ccc(-c2noc(C(=O)NNC(=O)Nc3ccccc3)n2)cc1,14.0,False
CC(C)(C)c1ccc(-c2noc(C(=O)NNC(=S)Nc3ccc(C(F)(F)F)cc3)n2)cc1,70.0,False
CC(C)(C)c1ccc(-c2noc(C(=O)NNC(=S)Nc3cccc(C(F)(F)F)c3)n2)cc1,59.0,False
CC(C)(C)c1ccc(-c2noc(CCCC(=O)Nc3cccc(C(F)(F)F)c3)n2)cc1,17.0,False
CC(C)(C)c1ccc(C(=O)O)cc1,54.8,True
CC(C)(NC(=O)/C=C/c1ccc(O)cc1)C(=O)NCCc1c[nH]c2ccc(F)cc12,7.0,False
CC(C)(NC(=O)/C=C/c1ccc(O)cc1)C(=O)NCCc1c[nH]c2ccccc12,6.6,False
CC(C)(NC(=O)/C=C/c1ccc(OCc2ccccc2)cc1)C(=O)NCCc1c[nH]c2ccccc12,10.2,False
CC(C)=CCC[C@]1(C)[C@@H](CC=C(C)C)C[C@]2(CC=C(C)C)C(=O)[C@@]1(CC=C(C)C)C(=O)C(C(=O)c1ccc(O)c(O)c1)=C2O,90.0,False
CC(C)=CCOc1ccc(Br)cc1/C=C1\Oc2ccccc2C1=O,75.3,False
CC(C)=CCOc1ccccc1/C=C1\Oc2ccccc2C1=O,31.8,False
CC(C)C(OC(=O)C(C)(C)C)n1nnnc1CCCNC(=S)NCCCC[C@H](NS(=O)(=O)c1cccc(F)c1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NC1CCC1,76.0,False
CC(C)CCNC(=O)c1ccccc1Nc1cccc(OCCc2ccccc2)c1,8.0,False
CC(C)C[C@H](NC(=O)[C@@H](NC(=O)CNC(=O)c1ccccc1)C(C)C)C(=O)N[C@@H](CCCCNC(=O)CC(C)(C(=O)O)c1ccccc1)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)NCC(=O)N[C@H](C(N)=O)C(C)C,1.0,False
CC(C)N1C(=O)C2(NC(=O)c3c(sc4c3CCCC4)N2)c2ccccc21,46.0,False
CC(C)N1CCN(C(=O)c2cccc(Oc3ccccc3)c2)CC1,48.15,False
CC(C)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CCCCNC(=O)C(F)(F)F)NC(=O)OCc1ccccc1,24.0,False
CC(C)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CCCCNC(=O)C(F)F)NC(=O)OCc1ccccc1,29.0,False
CC(C)c1ccc(-c2[nH][nH]c(=O)c2Cc2c(O)ccc3nc(Cl)ccc23)cc1,85.0,False
CC(C)c1ccc(C(=O)NC(=S)Nc2ccc(NC(=O)CCCCN(C)C)cc2)cc1,52.9,False
CC(C)n1c(=O)[nH]c2cc([N+](=O)[O-])ccc21,10.0,False
CC(NC(=O)c1ccc(/N=C/c2c(O)ccc3ccccc23)cc1)c1ccccc1,82.6,False
CC(NC(=O)c1cccc(/N=C/c2c(O)ccc3ccccc23)c1)c1ccccc1,63.0,False
CC(NC(=O)c1ccccc1/N=C/c1c(O)ccc2ccccc12)c1ccccc1,44.5,False
CC(NC(=O)c1ccccc1/N=C/c1cccc2ccccc12)c1ccccc1,33.0,False
CC(O)c1ccc(N(C)S(=O)(=O)c2cccc(C(=O)Nc3ccc(C#N)cc3)c2)cc1,17.0,False
CC(Sc1ncccn1)C(=O)Nc1ncc(Cc2cccc3ccccc23)s1,21.0,False
CC1(C)CC(=O)C2=C(C1)N(NC(=O)c1ccc(Cl)cc1Cl)C1=C(C(=O)CC(C)(C)C1)C2c1ccc(OCc2ccccc2)cc1,3.6,False
CC1(C)CC(=O)C2=C(C1)N(NC(=O)c1ccc(Cl)cc1Cl)C1=C(C(=O)CC(C)(C)C1)C2c1cccc(OCc2ccccc2)c1,4.7,False
CC1(C)CC(=O)C2=C(C1)N(NC(=O)c1ccc([N+](=O)[O-])cc1)C1=C(C(=O)CC(C)(C)C1)C2c1ccc(OCc2ccccc2)cc1,35.6,False
CC1(C)CC(=O)C2=C(C1)N(NC(=O)c1ccc([N+](=O)[O-])cc1)C1=C(C(=O)CC(C)(C)C1)C2c1cccc(OCc2ccccc2)c1,33.6,False
CC1(C)CC(=O)C2=C(C1)N(NC(=O)c1ccc([N+](=O)[O-])cc1)C1=C(C(=O)CC(C)(C)C1)C2c1ccccc1OCc1ccccc1,39.0,False
CC1(C)CC(=O)C2=C(C1)N(NC(=O)c1ccccc1)C1=C(C(=O)CC(C)(C)C1)C2c1ccc(OCc2ccccc2)cc1,52.0,False
CC1(C)CC(=O)C2=C(C1)N(NC(=O)c1ccccc1)C1=C(C(=O)CC(C)(C)C1)C2c1cccc(OCc2ccccc2)c1,21.5,False
CC1(C)CC(=O)C2=C(C1)N(NC(=O)c1ccccc1)C1=C(C(=O)CC(C)(C)C1)C2c1ccccc1OCc1ccccc1,39.7,False
CC1(C)CC(=O)C2=C(C1)N(NC(=O)c1ccncc1)C1=C(C(=O)CC(C)(C)C1)C2c1cccc(OCc2ccccc2)c1,53.67,False
CC1(C)CC(=O)C2=C(C1)N(NC(=O)c1ccncc1)C1=C(C(=O)CC(C)(C)C1)C2c1ccccc1OCc1ccccc1,72.63,False
CC1(C)CC(=O)C2=C(C1)N(Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-])C1=C(C(=O)CC(C)(C)C1)C2c1ccc(OCc2ccccc2)cc1,54.8,False
CC1(C)CC(=O)C2=C(C1)N(Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-])C1=C(C(=O)CC(C)(C)C1)C2c1cccc(OCc2ccccc2)c1,33.2,False
CC1(C)CC(=O)C2=C(C1)N(Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-])C1=C(C(=O)CC(C)(C)C1)C2c1ccccc1OCc1ccccc1,83.2,False
CC1(C)CC(=O)C2=C(C1)N(Nc1ccccc1)C1=C(C(=O)CC(C)(C)C1)C2c1ccc(OCc2ccccc2)cc1,55.2,False
CC1(C)CC(=O)C2=C(C1)N(Nc1ccccc1)C1=C(C(=O)CC(C)(C)C1)C2c1cccc(OCc2ccccc2)c1,51.4,False
CC1(C)CC(=O)C2=C(C1)N(Nc1ccccc1)C1=C(C(=O)CC(C)(C)C1)C2c1ccccc1OCc1ccccc1,82.1,False
CC1(C)CCC(C(N)=O)c2[nH]nc(-c3ccc(Cl)cc3)c21,20.0,False
CC1(C)Cc2c(-c3cc4ccccc4s3)n[nH]c2C(C(N)=O)C1,53.0,False
CC1(C)Cc2c(-c3ccc(Br)cc3)n[nH]c2C(C(N)=O)C1,56.0,False
CC1(C)Cc2c(-c3ccc(Cl)c(Cl)c3)n[nH]c2C(C(N)=O)C1,23.0,False
CC1=CCC(C(=O)/N=C2\CC=C(S(=O)(=O)O)c3cc(S(=O)(=O)O)cc(S(=O)(=O)O)c32)=C/C1=N/C(=O)C1=CC=C/C(=N\C(=O)/N=C2\C=CC=C(C(=O)/N=C3/CC(C(=O)/N=C4\CC=C(S(=O)(=O)O)c5cc(S(=O)(=O)O)cc(S(=O)(=O)O)c54)=CC=C3C)C2)C1,86.75999999999999,False
CCC(Sc1nc(C)cc(C)n1)C(=O)Nc1ncc(Cc2cccc3ccc(Cl)cc23)s1,10.0,False
CCC(Sc1nc(C)cc(C)n1)C(=O)Nc1ncc(Cc2cccc3ccccc23)s1,35.0,False
CCCC1CC(=O)c2cc(Cl)cc(Br)c2O1,10.0,False
CCCCC(=O)N(CCCC)Cc1ccc(C(=O)NO)cc1,15.0,False
CCCCCC(=O)Nc1ncc(Cc2cccc3ccccc23)s1,10.0,False
CCCCCC1CC(=O)c2cc(Br)cc(Br)c2O1,10.0,False
CCCCCC1CC(=O)c2cc(C)cc(C)c2O1,10.0,False
CCCCCC1CC(=O)c2cc(Cl)cc(Br)c2O1,10.0,False
CCCCCC1Nc2c(Br)cc(Br)cc2S(=O)(=O)N1,4.4,False
CCCCCCCCCCCCCC(=O)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)Nc1ccccc1,1.7,False
CCCCCCCCCCCCCC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)Nc1ccccc1,1.755,False
CCCCCCCCCCCCCCCCN1C(=O)C2(NC(=O)c3c(sc4c3CCCC4)N2)c2ccccc21,46.0,False
CCCCCCCCCCCCCNC(=O)CCCSC[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](N)CCCCN)[C@@H](C)O)C(=O)N[C@@H](CO)C(=O)N[C@H](C(=O)NCC(=O)NCC(=O)N[C@@H](CCCCN)C(=O)O)[C@@H](C)O,67.0,False
CCCCCCCCCCNC(=O)CCCSC[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](N)CCCCN)[C@@H](C)O)C(=O)N[C@@H](CO)C(=O)N[C@H](C(=O)NCC(=O)NCC(=O)N[C@@H](CCCCN)C(=O)O)[C@@H](C)O,60.0,False
CCCCCCCCNC(=O)CCCSC[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](N)CCCCN)[C@@H](C)O)C(=O)N[C@@H](CO)C(=O)N[C@H](C(=O)NCC(=O)NCC(=O)N[C@@H](CCCCN)C(=O)O)[C@@H](C)O,23.0,False
CCCCCCCCn1c(-c2ccc(-c3ccc(C)cc3)cc2)nc2cc(C(=O)OCC)ccc21,15.3,False
CCCCCCCCn1c(-c2ccc(-c3ccc(Cl)cc3)cc2)nc2cc(C(=O)OCC)ccc21,24.34,False
CCCCCCCCn1c(-c2ccc(-c3ccc(O)cc3O)cc2)nc2cc(C(=O)OCC)ccc21,29.03,False
CCCCCCCCn1c(-c2ccc(-c3ccc(OC(F)(F)F)cc3)cc2)nc2cc(C(=O)OCC)ccc21,25.02,False
CCCCCCCCn1c(-c2ccc(-c3cccc(-c4ccc(F)cn4)c3)cc2)nc2cc(C(=O)OCC)ccc21,22.01,False
CCCCCCCCn1c(-c2ccc(-c3ccccc3)cc2)nc2cc(C(=O)OCC)ccc21,23.89,False
CCCCCCCCn1c2c(c3cc(-c4ccc(S(C)(=O)=O)cc4)ccc31)CN(C(N)=O)CC2,51.8,False
CCCCCCCCn1c2c(c3cc(-c4ccc(S(C)(=O)=O)cc4)ccc31)CN(C)CC2,12.8,False
CCCCCCCCn1c2c(c3cc(-c4ccc(S(C)(=O)=O)cc4)ccc31)CNCC2,48.5,False
CCCCCCCCn1c2c(c3cc(-c4cccc(C)c4)ccc31)CN(C(C)C)CC2,2.4,False
CCCCCCCCn1c2c(c3cc(-c4cccc(C)c4)ccc31)CN(C)CC2,66.4,False
CCCCCCCCn1c2c(c3cc(-c4cccc(C)c4)ccc31)CN(Cc1ccccc1)CC2,5.0,False
CCCCCCCCn1c2c(c3cc(-c4cccc(C)c4)ccc31)CNCC2,5.1,False
CCCCCCCCn1c2c(c3cc(-c4ccnc(F)c4)ccc31)CNCC2,1.1,False
CCCCCCCCn1c2c(c3cc(-c4cnc(N)nc4)ccc31)CN(C(C)C)CC2,15.3,False
CCCCCCCCn1c2c(c3cc(-c4cnc(N)nc4)ccc31)CNCC2,2.4,False
CCCCCCNC(=O)CCCSC[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](N)CCCCN)[C@@H](C)O)C(=O)N[C@@H](CO)C(=O)N[C@H](C(=O)NCC(=O)NCC(=O)N[C@@H](CCCCN)C(=O)O)[C@@H](C)O,36.0,False
CCCCCNC(=O)c1ccccc1Nc1cccc(OCCc2ccccc2)c1,9.0,False
CCCCC[C@@H]1CC(=O)c2cc(Cl)cc(Br)c2O1,10.0,False
CCCCC[C@H]1CC(=O)c2cc(Cl)cc(Br)c2O1,10.0,False
CCCCCc1cc(=O)c2cc(Cl)cc(Br)c2o1,9.9,False
CCCCCc1ccc(C(=O)NC(=S)Nc2ccc(NC(=O)CCCCN(C)C)cc2)cc1,73.2,False
CCCCN(Cc1ccc(C(=O)NO)cc1)C(=O)CCCCn1cc(COc2cccc(Cc3cnc(NC(=O)CSc4nc(C)cc(C)n4)s3)c2)nn1,15.0,False
CCCCNC(=O)CCCSC[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](N)CCCCN)[C@@H](C)O)C(=O)N[C@@H](CO)C(=O)N[C@H](C(=O)NCC(=O)NCC(=O)N[C@@H](CCCCN)C(=O)O)[C@@H](C)O,30.0,False
CCCCNC(=O)NNC(=O)c1nc(-c2ccc(C(C)(C)C)cc2)no1,22.0,False
CCCCNC(=O)c1ccccc1Nc1cccc(OCCc2ccccc2)c1,2.0,False
CCCCOc1ccc(Cn2c(-c3ccccc3)c(Cc3c(OC)ccc4ccccc34)c(=O)[nH]c2=S)cc1,32.7,False
CCCCOc1ccc(Cn2c(-c3ccccc3)c(Cc3ccccc3)c(=O)[nH]c2=S)cc1,8.5,False
CCCCc1ccc(C(=O)NC(=S)Nc2ccc(NC(=O)CCCCN(C)C)cc2)cc1,56.3,False
CCCCn1c(-c2ccc(Cl)cc2)c(Cc2c(OC)ccc3ccccc23)c(=O)[nH]c1=S,18.4,False
CCCCn1c(-c2ccccc2)c(Cc2c(O)ccc3ccccc23)c(=O)[nH]c1=S,16.9,False
CCCCn1c(-c2ccccc2C)c(Cc2c(OC)ccc3ccccc23)c(=O)[nH]c1=S,11.5,False
CCCNC(=O)[C@H](CNC(=O)Cn1cc(C(N)=O)c(=O)[nH]c1=O)NC(=O)CCc1nc(-c2cccnc2)no1,10.0,False
CCCNC(=O)c1ccccc1Nc1cccc(OCCc2ccccc2)c1,8.0,False
CCCOc1ccc(Cn2c(-c3ccccc3)c(Cc3c(Cc4ccccc4)ccc4ccccc34)c(=O)[nH]c2=S)cc1,22.8,False
CCCOc1ccc(Cn2c(-c3ccccc3)c(Cc3c(O)ccc4ccccc34)c(=O)[nH]c2=S)cc1,15.6,False
CCCOc1ccc(Cn2c(-c3ccccc3)c(Cc3c(OC)ccc4ccccc34)c(=O)[nH]c2=S)cc1,38.0,False
